DEST,MSNAME,N_RETURNEES
Albania,Germany,9587
Tunisia,Germany,1428
Georgia,Germany,5881
Kosovo,Germany,6707
Serbia,Germany,8134
Nigeria,Germany,1637
North Macedonia,Germany,4713
Pakistan,Germany,1804
Moldova,Germany,3846
Colombia,Germany,3
Afghanistan,Germany,1104
Armenia,Germany,1199
Egypt,Germany,122
Russia,Germany,871
Bosnia and Herzegovina,Germany,932
Albania,Italy,78
Tunisia,Italy,12830
Georgia,Italy,202
Serbia,Italy,3
Nigeria,Italy,2219
North Macedonia,Italy,1
Pakistan,Italy,40
Colombia,Italy,5
Armenia,Italy,7
Egypt,Italy,1266
Bosnia and Herzegovina,Italy,1
Albania,France,8086
Georgia,France,879
Kosovo,France,155
Serbia,France,23
Nigeria,France,119
North Macedonia,France,1
Pakistan,France,54
Moldova,France,7
Colombia,France,12
Armenia,France,21
Egypt,France,1
Bosnia and Herzegovina,France,1
Albania,Spain,785
Georgia,Spain,821
Serbia,Spain,11
Nigeria,Spain,538
North Macedonia,Spain,2
Pakistan,Spain,208
Colombia,Spain,2683
Armenia,Spain,11
Albania,Austria,65
Georgia,Austria,541
Kosovo,Austria,1215
Serbia,Austria,65
Nigeria,Austria,1101
North Macedonia,Austria,69
Pakistan,Austria,238
Colombia,Austria,3
Afghanistan,Austria,429
Armenia,Austria,218
Egypt,Austria,3
Russia,Austria,218
Bosnia and Herzegovina,Austria,10
Albania,Sweden,491
Georgia,Sweden,211
Kosovo,Sweden,316
Serbia,Sweden,365
Nigeria,Sweden,269
North Macedonia,Sweden,25
Pakistan,Sweden,57
Moldova,Sweden,5
Colombia,Sweden,6
Afghanistan,Sweden,444
Armenia,Sweden,82
Russia,Sweden,6
Bosnia and Herzegovina,Sweden,20
Georgia,Greece,397
Nigeria,Greece,184
Pakistan,Greece,1006
Afghanistan,Greece,11
Armenia,Greece,3
Egypt,Greece,1
Albania,Belgium,769
Georgia,Belgium,34
Kosovo,Belgium,33
Serbia,Belgium,42
Nigeria,Belgium,91
North Macedonia,Belgium,9
Pakistan,Belgium,31
Moldova,Belgium,1
Colombia,Belgium,2
Afghanistan,Belgium,5
Armenia,Belgium,22
Russia,Belgium,5
Bosnia and Herzegovina,Belgium,6
Albania,Poland,4
Georgia,Poland,256
Kosovo,Poland,2
Nigeria,Poland,52
Pakistan,Poland,34
Colombia,Poland,4
Armenia,Poland,10
Egypt,Poland,1
Russia,Poland,44
Albania,Hungary,12
Georgia,Hungary,22
Kosovo,Hungary,802
Nigeria,Hungary,98
Pakistan,Hungary,79
Colombia,Hungary,1
Afghanistan,Hungary,43
Armenia,Hungary,5
Egypt,Hungary,3
Russia,Hungary,1
Bosnia and Herzegovina,Hungary,1
Albania,Iceland,330
Georgia,Iceland,85
Kosovo,Iceland,12
Serbia,Iceland,4
Nigeria,Iceland,4
North Macedonia,Iceland,263
Armenia,Iceland,2
Albania,Finland,78
Georgia,Finland,21
Kosovo,Finland,154
Serbia,Finland,16
Nigeria,Finland,99
North Macedonia,Finland,3
Pakistan,Finland,14
Colombia,Finland,5
Afghanistan,Finland,62
Armenia,Finland,4
Georgia,Norway,15
Kosovo,Norway,79
Serbia,Norway,7
Nigeria,Norway,490
Pakistan,Norway,22
Egypt,Norway,2
Russia,Norway,1
Albania,United Kingdom,155
Georgia,United Kingdom,2
Kosovo,United Kingdom,7
Nigeria,United Kingdom,456
Pakistan,United Kingdom,43
Albania,Ireland,34
Georgia,Ireland,57
Serbia,Ireland,5
Nigeria,Ireland,523
Pakistan,Ireland,55
